val 1, val 2, val 3, val 4
32, 23, 18, 64
37, 52, 23, 1
53, 80, 72, 81
47, 58, 67, 51
89, 74, 68, 75
36, 97, 97, 81
11, 93, 60, 34
2, 26, 23, 30
2, 5, 89, 64
14, 5, 23, 48
10, 93, 59, 26
64, 16, 14, 28
43, 81, 26, 59
71, 88, 34, 36
12, 28, 71, 65
77, 26, 10, 90
45, 65, 9, 29
55, 78, 3, 74
69, 97, 28, 46
8, 33, 76, 44
58, 56, 40, 89
2, 80, 39, 64
35, 98, 93, 16
31, 24, 61, 22
63, 66, 74, 79
44, 1, 66, 100
33, 11, 11, 14
87, 38, 16, 87
1, 58, 4, 47
100, 37, 60, 97
76, 12, 77, 19
7, 19, 33, 95
6, 28, 74, 70
28, 78, 88, 17
86, 57, 30, 54
74, 89, 84, 30
76, 98, 82, 84
59, 78, 36, 74
77, 43, 97, 68
71, 61, 15, 30
16, 61, 63, 13
86, 16, 69, 99
42, 80, 78, 17
99, 48, 8, 33
94, 70, 78, 51
22, 56, 82, 61
95, 100, 21, 59
63, 61, 69, 96
29, 29, 12, 21
33, 8, 70, 3
77, 94, 74, 16
22, 3, 39, 36
61, 15, 57, 6
21, 50, 55, 85
38, 22, 42, 78
36, 7, 28, 90
35, 81, 36, 59
99, 100, 77, 39
81, 96, 43, 41
12, 77, 63, 80
31, 33, 21, 70
77, 89, 68, 30
94, 71, 78, 96
44, 95, 24, 96
37, 54, 65, 64
69, 21, 7, 64
81, 88, 34, 50
73, 31, 64, 73
52, 33, 27, 33
53, 39, 44, 35
29, 70, 77, 49
2, 10, 88, 90
70, 44, 97, 12
92, 61, 32, 27
47, 35, 66, 69
85, 62, 98, 35
83, 19, 62, 94
63, 29, 82, 3
71, 3, 69, 26
33, 2, 75, 42
72, 66, 83, 83
42, 86, 37, 3
66, 13, 78, 20
49, 27, 39, 78
82, 31, 75, 92
92, 19, 33, 79
41, 81, 95, 27
20, 55, 4, 11
37, 30, 99, 49
32, 100, 7, 98
30, 76, 15, 47
94, 19, 89, 90
37, 24, 10, 6
100, 77, 55, 43
18, 32, 91, 43
54, 50, 96, 90
14, 65, 98, 61
23, 54, 54, 17
5, 13, 51, 32
7, 42, 1, 69
